2025-11-10 12:11:47,425 - INFO - Starting video scraping process
2025-11-10 12:11:47,426 - INFO - Fetching XML data from: https://www.minetegn.no/tegnordbok/xml/tegnordbok.php
2025-11-10 12:11:48,383 - INFO - XML data fetched successfully. Size: 1103933 bytes
2025-11-10 12:11:48,440 - INFO - Found 10171 video filenames
2025-11-10 12:11:48,441 - INFO - Starting parallel download of 10171 videos using 8 workers
2025-11-10 12:12:48,300 - INFO - Downloaded amsterdam.mp4 (395,664 bytes)
2025-11-10 12:12:48,464 - INFO - Downloaded anatomi.mp4 (319,611 bytes)
2025-11-10 12:12:48,494 - INFO - Downloaded ANB.mp4 (327,403 bytes)
2025-11-10 12:12:48,730 - INFO - Downloaded anbud-2.mp4 (181,109 bytes)
2025-11-10 12:12:48,732 - INFO - Skipping M2_68154_68460.mp4 - already exists
2025-11-10 12:12:49,061 - INFO - Downloaded and.mp4 (319,953 bytes)
2025-11-10 12:12:49,063 - INFO - Skipping M2_68459_68719.mp4 - already exists
2025-11-10 12:12:49,401 - INFO - Downloaded anbefale.mp4 (432,748 bytes)
2025-11-10 12:12:49,436 - INFO - Downloaded and-gaar.mp4 (106,132 bytes)
2025-11-10 12:12:50,486 - INFO - Downloaded and-svoemmer.mp4 (457,868 bytes)
2025-11-10 12:12:50,755 - INFO - Downloaded ananas-3.mp4 (913,731 bytes)
2025-11-10 12:12:50,882 - INFO - Downloaded Andebu.mp4 (263,092 bytes)
2025-11-10 12:12:51,594 - INFO - Downloaded andakt.mp4 (432,555 bytes)
2025-11-10 12:12:52,210 - INFO - Downloaded M2_68737_68853.mp4 (815,953 bytes)
2025-11-10 12:12:52,324 - INFO - Downloaded andel.mp4 (352,447 bytes)
2025-11-10 12:12:52,394 - INFO - Downloaded anders.mp4 (290,279 bytes)
2025-11-10 12:12:52,421 - INFO - Downloaded andpusten.mp4 (275,141 bytes)
2025-11-10 12:12:52,982 - INFO - Downloaded andre.mp4 (279,625 bytes)
2025-11-10 12:12:53,172 - INFO - Downloaded M2_68459_68719.mp4 (1,758,702 bytes)
2025-11-10 12:12:53,229 - INFO - Downloaded M2_68154_68460.mp4 (2,085,925 bytes)
2025-11-10 12:12:53,871 - INFO - Downloaded andre-for-det-andre-1.mp4 (291,901 bytes)
2025-11-10 12:12:54,257 - INFO - Downloaded andre-for-det-andre-2.mp4 (268,195 bytes)
2025-11-10 12:12:54,495 - INFO - Downloaded andreas.mp4 (212,300 bytes)
2025-11-10 12:12:54,495 - INFO - Downloaded M1_02398_02606.mp4 (1,437,027 bytes)
2025-11-10 12:12:54,997 - INFO - Downloaded andreas-2.mp4 (137,626 bytes)
2025-11-10 12:12:55,697 - INFO - Downloaded M1_20414_20642.mp4 (1,550,012 bytes)
2025-11-10 12:12:56,155 - INFO - Downloaded anelse.mp4 (263,815 bytes)
2025-11-10 12:12:56,353 - INFO - Downloaded android.mp4 (319,873 bytes)
2025-11-10 12:12:56,486 - INFO - Downloaded andreas-christian-moeller.mp4 (570,812 bytes)
2025-11-10 12:12:56,643 - INFO - Downloaded anestesisykepleier.mp4 (415,509 bytes)
2025-11-10 12:12:57,184 - INFO - Downloaded anfall.mp4 (255,364 bytes)
2025-11-10 12:12:57,680 - INFO - Downloaded angre.mp4 (416,860 bytes)
2025-11-10 12:12:57,945 - INFO - Downloaded angrep.mp4 (317,165 bytes)
2025-11-10 12:12:58,079 - INFO - Downloaded angripe-2.mp4 (291,501 bytes)
2025-11-10 12:12:58,438 - INFO - Downloaded angripe.mp4 (378,164 bytes)
2025-11-10 12:12:58,533 - INFO - Downloaded M1_64225_64579.mp4 (2,401,512 bytes)
2025-11-10 12:12:58,534 - INFO - Downloaded angst.mp4 (287,130 bytes)
2025-11-10 12:12:58,597 - INFO - Downloaded M1_65723_65984.mp4 (1,758,643 bytes)
2025-11-10 12:12:59,106 - INFO - Downloaded M2_07919_08187.mp4 (1,815,491 bytes)
2025-11-10 12:12:59,521 - INFO - Downloaded angst-2.mp4 (369,719 bytes)
2025-11-10 12:12:59,592 - INFO - Downloaded angstanfall.mp4 (466,687 bytes)
2025-11-10 12:12:59,631 - INFO - Downloaded animasjon-1.mp4 (431,571 bytes)
2025-11-10 12:12:59,794 - INFO - Downloaded animatoer.mp4 (317,772 bytes)
2025-11-10 12:12:59,894 - INFO - Downloaded vrikke-over-1.mp4 (281,413 bytes)
2025-11-10 12:12:59,895 - INFO - Downloaded animasjon-2.mp4 (447,403 bytes)
2025-11-10 12:12:59,981 - INFO - Downloaded anke.mp4 (370,731 bytes)
2025-11-10 12:13:00,311 - INFO - Downloaded anker.mp4 (384,077 bytes)
2025-11-10 12:13:00,425 - INFO - Downloaded anmelde.mp4 (267,829 bytes)
2025-11-10 12:13:00,708 - INFO - Downloaded anmelde-2.mp4 (258,165 bytes)
2025-11-10 12:13:00,804 - INFO - Downloaded anmeldelse-2.mp4 (321,995 bytes)
2025-11-10 12:13:00,832 - INFO - Downloaded anne-3.mp4 (187,819 bytes)
2025-11-10 12:13:00,930 - INFO - Downloaded ankeutvalg.mp4 (332,416 bytes)
2025-11-10 12:13:00,963 - INFO - Downloaded anne-1.mp4 (188,258 bytes)
2025-11-10 12:13:01,048 - INFO - Downloaded anmeldelse.mp4 (400,521 bytes)
2025-11-10 12:13:01,051 - INFO - Downloaded anne-2.mp4 (155,729 bytes)
2025-11-10 12:13:01,456 - INFO - Downloaded annen-annet.mp4 (345,139 bytes)
2025-11-10 12:13:01,459 - INFO - Downloaded anne-kari.mp4 (553,828 bytes)
2025-11-10 12:13:01,790 - INFO - Downloaded anonym.mp4 (268,636 bytes)
2025-11-10 12:13:02,247 - INFO - Downloaded anonym-3.mp4 (334,234 bytes)
2025-11-10 12:13:02,252 - INFO - Downloaded annonse-1.mp4 (310,867 bytes)
2025-11-10 12:13:02,268 - INFO - Downloaded anonym-2.mp4 (327,922 bytes)
2025-11-10 12:13:02,365 - INFO - Downloaded annerledes.mp4 (365,317 bytes)
2025-11-10 12:13:02,377 - INFO - Downloaded annonse-2.mp4 (337,521 bytes)
2025-11-10 12:13:03,007 - INFO - Downloaded anorakk.mp4 (354,753 bytes)
2025-11-10 12:13:03,038 - INFO - Downloaded anoreksi.mp4 (306,087 bytes)
2025-11-10 12:13:03,307 - INFO - Downloaded ansatte.mp4 (270,527 bytes)
2025-11-10 12:13:03,594 - INFO - Downloaded ansatt.mp4 (386,582 bytes)
2025-11-10 12:13:03,618 - INFO - Downloaded ansats-bowling.mp4 (351,540 bytes)
2025-11-10 12:13:03,817 - INFO - Downloaded ansikt.mp4 (235,876 bytes)
2025-11-10 12:13:04,006 - INFO - Downloaded ansette.mp4 (394,129 bytes)
2025-11-10 12:13:05,197 - INFO - Downloaded anstendig.mp4 (386,179 bytes)
2025-11-10 12:13:05,281 - INFO - Downloaded M1_32182_32397.mp4 (1,456,521 bytes)
2025-11-10 12:13:05,697 - INFO - Downloaded ansvarlig.mp4 (321,235 bytes)
2025-11-10 12:13:05,985 - INFO - Downloaded angstrengelsesastma.mp4 (411,913 bytes)
2025-11-10 12:13:06,243 - INFO - Downloaded ansvar.mp4 (411,435 bytes)
2025-11-10 12:13:06,553 - INFO - Downloaded antall.mp4 (360,761 bytes)
2025-11-10 12:13:06,574 - INFO - Downloaded antenne-2.mp4 (263,196 bytes)
2025-11-10 12:13:06,764 - INFO - Downloaded antibac-1.mp4 (297,559 bytes)
2025-11-10 12:13:07,044 - INFO - Downloaded antenne.mp4 (352,872 bytes)
2025-11-10 12:13:07,139 - INFO - Downloaded antibac-2.mp4 (299,452 bytes)
2025-11-10 12:13:07,432 - INFO - Downloaded antibiotika.mp4 (316,457 bytes)
2025-11-10 12:13:07,834 - INFO - Downloaded antidepressiva.mp4 (434,560 bytes)
2025-11-10 12:13:07,861 - INFO - Downloaded antikken.mp4 (332,901 bytes)
2025-11-10 12:13:08,790 - INFO - Downloaded antyde.mp4 (246,328 bytes)
2025-11-10 12:13:08,911 - INFO - Downloaded antisemittisme.mp4 (437,457 bytes)
2025-11-10 12:13:08,919 - INFO - Downloaded antistoff.mp4 (318,728 bytes)
2025-11-10 12:13:09,169 - INFO - Downloaded antimaterie.mp4 (431,766 bytes)
2025-11-10 12:13:09,170 - INFO - Skipping M2_21469_21778.mp4 - already exists
2025-11-10 12:13:09,282 - INFO - Downloaded ape-1.mp4 (320,357 bytes)
2025-11-10 12:13:10,631 - INFO - Downloaded ape-profil.mp4 (99,622 bytes)
2025-11-10 12:13:10,631 - INFO - Skipping M2_21469_21778.mp4 - already exists
2025-11-10 12:13:11,115 - INFO - Downloaded ape-3.mp4 (365,015 bytes)
2025-11-10 12:13:11,145 - INFO - Downloaded ape-2.mp4 (293,753 bytes)
2025-11-10 12:13:11,429 - INFO - Downloaded M1_25828_26231.mp4 (2,749,640 bytes)
2025-11-10 12:13:12,322 - INFO - Downloaded apokryfer.mp4 (243,092 bytes)
2025-11-10 12:13:12,750 - INFO - Downloaded M2_21469_21778.mp4 (2,105,057 bytes)
2025-11-10 12:13:12,858 - INFO - Downloaded apollo.mp4 (278,900 bytes)
2025-11-10 12:13:12,913 - INFO - Downloaded apostel-1.mp4 (237,015 bytes)
2025-11-10 12:13:12,989 - INFO - Downloaded apostel-2.mp4 (246,546 bytes)
2025-11-10 12:13:13,269 - INFO - Downloaded M1_86744_87561.mp4 (5,551,285 bytes)
2025-11-10 12:13:14,298 - INFO - Downloaded M2_30149_30440.mp4 (1,962,402 bytes)
2025-11-10 12:13:14,309 - INFO - Downloaded apostel.mp4 (400,851 bytes)
2025-11-10 12:13:14,310 - INFO - Skipping M1_86744_87561.mp4 - already exists
2025-11-10 12:13:14,568 - INFO - Downloaded app.mp4 (276,224 bytes)
2025-11-10 12:13:14,635 - INFO - Downloaded app-2.mp4 (264,237 bytes)
2025-11-10 12:13:14,674 - INFO - Downloaded apotek.mp4 (291,332 bytes)
2025-11-10 12:13:14,675 - INFO - Downloaded apparat-1.mp4 (416,506 bytes)
2025-11-10 12:13:14,722 - INFO - Downloaded M2_29783_30140.mp4 (2,419,633 bytes)
2025-11-10 12:13:14,761 - INFO - Downloaded apparat-2.mp4 (309,406 bytes)
2025-11-10 12:13:15,140 - INFO - Downloaded appelsin.mp4 (293,861 bytes)
2025-11-10 12:13:15,929 - INFO - Downloaded april.mp4 (298,037 bytes)
2025-11-10 12:13:16,026 - INFO - Downloaded appetitt.mp4 (267,273 bytes)
2025-11-10 12:13:16,192 - INFO - Downloaded appelsinjuice.mp4 (508,244 bytes)
2025-11-10 12:13:16,301 - INFO - Downloaded arabia.mp4 (298,927 bytes)
2025-11-10 12:13:16,554 - INFO - Downloaded arabisk-1.mp4 (270,137 bytes)
2025-11-10 12:13:16,722 - INFO - Downloaded applaus.mp4 (418,384 bytes)
2025-11-10 12:13:17,285 - INFO - Downloaded arabisk-3.mp4 (305,515 bytes)
2025-11-10 12:13:17,427 - INFO - Downloaded arbeid.mp4 (248,656 bytes)
2025-11-10 12:13:17,438 - INFO - Downloaded arabisk-2.mp4 (265,640 bytes)
2025-11-10 12:13:18,196 - INFO - Downloaded M1_88140_88405.mp4 (1,797,471 bytes)
2025-11-10 12:13:18,314 - INFO - Downloaded arbeidspartiet.mp4 (430,754 bytes)
2025-11-10 12:13:18,431 - INFO - Downloaded arbeide.mp4 (350,373 bytes)
2025-11-10 12:13:18,968 - INFO - Downloaded arbeidsgiver.mp4 (366,206 bytes)
2025-11-10 12:13:19,159 - INFO - Downloaded arbeidsklaer.mp4 (364,338 bytes)
2025-11-10 12:13:19,253 - INFO - Downloaded arbeidsavklaringspenger.mp4 (398,390 bytes)
2025-11-10 12:13:19,275 - INFO - Downloaded M1_08137_08295.mp4 (1,067,760 bytes)
2025-11-10 12:13:19,697 - INFO - Downloaded arbeidsledig.mp4 (406,832 bytes)
2025-11-10 12:13:19,701 - INFO - Downloaded arbeidsoppgave.mp4 (365,575 bytes)
2025-11-10 12:13:20,011 - INFO - Downloaded arbeidsordre.mp4 (404,739 bytes)
2025-11-10 12:13:20,244 - INFO - Downloaded arbeidsplass.mp4 (371,935 bytes)
2025-11-10 12:13:20,487 - INFO - Downloaded areal.mp4 (394,897 bytes)
2025-11-10 12:13:20,740 - INFO - Downloaded M1_65422_65708.mp4 (1,923,401 bytes)
2025-11-10 12:13:20,976 - INFO - Downloaded arendal.mp4 (276,300 bytes)
2025-11-10 12:13:21,039 - INFO - Downloaded argentina-2.mp4 (410,773 bytes)
2025-11-10 12:13:21,174 - INFO - Downloaded argument.mp4 (406,942 bytes)
2025-11-10 12:13:21,177 - INFO - Downloaded argentina-1.mp4 (362,395 bytes)
2025-11-10 12:13:21,332 - INFO - Downloaded argument-2.mp4 (317,496 bytes)
2025-11-10 12:13:21,337 - INFO - Downloaded argumentere.mp4 (250,112 bytes)
2025-11-10 12:13:21,501 - INFO - Downloaded arild.mp4 (188,816 bytes)
2025-11-10 12:13:21,624 - INFO - Downloaded aristoteles.mp4 (274,514 bytes)
