Filename,Gloss,Description,Comment
balje.mp4,balje,,
balkong.mp4,balkong,,
kaste-ball.mp4,ball (kaste b-),,
ball-stor.mp4,ball (stor),,
ballett.mp4,ballett,,
ballong.mp4,ballong,,
balsamere.mp4,balsamere,,
bamse-1.mp4,bamse 1,,
bamse-2.mp4,bamse 2,,
banan.mp4,banan 1,,
banan-3.mp4,banan 2,,
baand.mp4,bånd (kobbel),,
baand-limbaand-ol.mp4,bånd (limbånd o.l.),,
bandasje.mp4,bandasje,,
banditt.mp4,banditt,,
baandslipe-1.mp4,båndsliper 1,,
baandslipe-2.mp4,båndsliper 2,,
bane.mp4,bane,,
bane-kjemi.mp4,bane (kjemi),,
bangkok-1.mp4,Bangkok 1,,
bangkok-2.mp4,Bangkok 2,,
bangladesh-3.mp4,Bangladesh 1,,
bangladesh-2.mp4,Bangladesh 2,,
Bangladesh.mp4,Bangladesh 3,,
bank.mp4,bank,,
bank-juling.mp4,bank (juling),,
banke-1.mp4,banke 1,,
banke-2.mp4,banke 2,,
bankkort.mp4,bankkort,,
bankraner.mp4,bankraner,,
banne.mp4,banne,,
banner-ikt.mp4,banner (IKT),,
baptist-2.mp4,baptist,,
bar-utested-2.mp4,bar (utested),,
bar-utested-1.mp4,bar 1,,
bar-mitsva.mp4,Bar Mitsva (jødedom),,
barberblad.mp4,barberblad,,
barbere.mp4,barbere,,
barberhoevel.mp4,barberhøvel,,
barbermaskin.mp4,barbermaskin,,
baard.mp4,Bård,,
bare.mp4,bare,,
bark-1.mp4,bark 1,,
bark-2.mp4,bark 2,,
barmhjertig.mp4,barmhjertig,,
barn.mp4,barn,,
barn-spedbarn.mp4,barn (spedbarn),,
barn-flere-barn.mp4,barn: flere barn,,
barnebarn.mp4,barnebarn,,
barnedaap.mp4,barnedåp,,
barnefilm.mp4,barnefilm,,
barnefordeling.mp4,barnefordeling,,
barnehage.mp4,barnehage 1,,
barnehage-2.mp4,barnehage 2,,
barnehagebarn.mp4,barnehagebarn,,
barnerom.mp4,barnerom,,
barnevakt-person.mp4,barnevakt (person),,
