Gloss,Signwriting,modified
besøk,M519x521S15a48490x490S15a42481x509S21100506x495S28802484x479,besøk
bjørg,M539x549S30006482x482S22a04513x534S21100514x517S1f720519x494,bjørg
atombombe,M551x576S1f720527x505S22a04533x527S14c50527x545S2f700515x531S34c00482x482,atombombe
hoved,M508x512S1f540493x488,hoved
fin,M552x554S33e00482x483S1ce10530x513S2f900529x549,fin
eksponent,M507x518S14a20492x503S22a00494x482,eksponent
identisk,M524x529S10058483x499S10050503x499S20500495x483S26502509x482S26516475x481S2f900495x471,identisk
legge fram,M543x552S14c02511x529S14c0a466x528S14c30519x450S14c38457x447S2b810456x487S2b800519x488,legge fram
ci,M521x533S2ff33479x482S11810496x506S20500492x493,ci
brekke,M527x528S20350479x473S20350502x473S20500495x494S2a208504x499S2a210474x500,brekke
større,M515x530S15a12485x492S15a16488x518S22a00494x470,større
skole,M531x515S15a00486x484S15a00501x484S26a02517x488S26a16468x487,skole
lengde,M554x518S10049446x488S10041474x487S26706496x482S2f900543x489,lengde
glede seg,M552x598S33e00482x482S15a48488x546S15a40505x549S21100493x582S27100512x583S27114447x583,glede seg
lineær funksjon,M529x529S1dc28471x488S10041508x499S22c07492x471,lineær funksjon
feil,M533x519S10040487x489S1004a467x492S22b04517x481S20e00506x483,feil
hjørne av linjer,M523x523S10049477x493S10041502x493S20500494x478,hjørne av linjer
w,M509x515S18620491x485,w
nabovinkel,M542x519S10051512x495S1ee18486x497S37706458x511S28902477x480S20500468x499,nabovinkel
skjæring med x aksen,M523x528S1dc28477x471S10040486x498S20e00510x482S26504509x498,skjæring med x aksen
arkimedes,M547x524S34900482x489S31a00482x488S30100482x477S1dc21517x488S22100518x474,arkimedes
konkuranse,M563x522S1f548485x477S1f540504x477S2c510437x479S2c500523x479S2fc04494x511,konkuranse
dag,M527x526S15d0a476x506S15d02495x507S28909500x474S28911472x474S20e00494x501,dag
diagram,M542x516S1dc28459x486S10041521x485S29a06480x485,diagram
"dør,   åpne forsiktig",M525x605S36e00477x520S32d00483x482S2f804459x594S15d0a482x547S2df10465x565S15d02498x549,"dør,   åpne forsiktig"
alfa,M513x509S18311486x490,alfa
stolt,M569x523S33100482x488S2c300543x494S1f510523x498S30100482x477,stolt
otto,M531x543S26a02473x516S18210508x524S20e00492x520S30004482x482,otto
parallellogram,M547x538S15a11514x491S15a1f466x490S15a12483x474S15a1a489x516S2f900493x462S2f900493x533S2f900536x491S2f900453x506,parallellogram
spiss vinkel,M527x535S1ee18473x485S10041506x505S21100514x465S2400a493x478,spiss vinkel
e hånd munn,M541x531S34a00482x483S14a20526x516,e hånd munn
true,M513x530S20302487x490S2f900502x480S37700494x505S26500487x470,true
beregne,M516x549S14c20488x467S15a06486x514S22520484x451S20e00492x500S22b04490x519,beregne
x aksen,M536x528S1dc28463x473S10050483x498S20e00485x477S26706494x485,x aksen
jeg,M520x517S20500479x506S10043490x483,jeg
parallellogram,M552x548S10058471x518S10050494x517S20500458x456S22c15449x471S22c06476x453S22c02486x487S22c05519x466,parallellogram
hjemme?,M535x581S30a00482x482S2c600516x555S15a5a488x567S15a50496x534,hjemme
kjernepartikkel,M525x533S14210496x498S19219475x474S15a18478x500S20500494x522S2b700496x467S22a04494x489,kjernepartikkel
hund,M542x530S36d00480x470S36d00477x511S15a1c530x503S20600503x497,hund
hus,M535x532S23904515x502S2391c466x498S20500495x468S15c13502x479S15c15481x480,hus
linjestykke,M555x523S10050481x493S10059446x493S20500473x476S2f900544x488S26706500x482,linjestykke
analyse,M533x517S11912508x499S1191a467x500S21800474x483S21800508x484,analyse
akse,M512x531S10010493x469S2e100489x502,akse
astro ,M554x517S15420535x449S32107482x482S2e200534x485,astro
bølgelengde,M534x531S29a06466x468S10051504x472S22a04496x486S2f900497x505S1ed26474x505,bølgelengde
kanskje,M509x531S2e234490x499S1f540493x468,kanskje
sidekant,M517x525S15a02490x477S15a18483x474S21100500x494S22a04501x510,sidekant
e munn,M518x518S34a00482x483,e munn
forsker,M557x614S11912507x539S1191a466x540S21800473x523S21800507x524S22a04509x564S22b14473x562S2fb04492x595S32104482x482S1ed26538x568S22a04539x599,forsker
sette seg,M521x603S33e00482x482S11557479x576S11851490x563S22a04491x533S20500493x550,sette seg
bryn hv,M518x517S30c00482x482,bryn hv
spise,M525x539S33b00482x482S1eb30501x520S20600472x521,spise
y aksen,M515x549S1dc28484x519S20e00503x522S19a10485x496S22c00491x451,y aksen
baneakselerasjon,M537x533S10041516x503S2d600463x468S28701489x474,baneakselerasjon
legge til kai,M524x517S2ff20476x482S15a5a487x457S15a42491x440S26504497x415,legge til kai
person,M509x532S1ec26490x469S22b04490x502,person
økende,M554x523S15348485x498S15340503x498S20700493x476S26606524x502S26612447x503,økende
energi,M529x525S20302507x510S2030a479x510S2a600512x475S2a611471x474S2f900479x499S2f900510x499,energi
eksitasjon,M526x531S19205474x512S14a10505x497S28800514x469,eksitasjon
