Gloss,Signwriting,modified
kenguru,M552x525S36d00479x475S20500509x490S20500481x491S17154510x505S1715c472x504S23000527x479S23010451x479,kenguru
kenguru,M550x536S14c04506x475S14c0c472x476S37806513x474S37806457x476S2fa00520x464S2fa00468x467S23600511x509S23610451x511S2fb04494x530,kenguru
ku,M558x518S2ff00482x483S28807505x469S2881f472x470S1ef10529x482S1ef18440x482S22104529x470S22104455x470,ku
ku,M529x518S2ff00482x483S10027508x458S1002f467x459,ku
ku,M548x518S2ff00482x483S10027508x458S1002f467x459S22a11448x453S22a07535x453,ku
okse,M518x555S33200482x483S20800496x520S1ec16492x532,okse
okse,M551x536S33200482x483S20800537x501S1ec16532x513,okse
okse,M526x518S2ff00482x483S1de20504x469S1de28473x468,okse
radyr,M543x518S2ff00482x483S1f110514x479S1f118456x479S22a00520x459S22a10468x460,radyr
sau,M540x518S15a1a508x506S37806476x511S10e1e510x487S21100494x489S26602461x488S22104474x482,sau
sjiraff,M518x582S36a00482x477S22d00493x522S1710e485x565,sjiraff
svin,M518x538S2ff00482x483S2e300490x486S20310492x523,svin
vær,M571x520S2ff00482x483S22b04520x490S22b14463x487S2f005529x479S2f015449x475S2fb00528x469S2fb00454x465S10011550x476S10019426x475,vær
vent,M506x514S15a20494x487,vent
voltage,M526x518S11810511x491S11818474x491S2f900514x483S2f900475x483,voltage
atmosfære,M550x588S36d00479x432S14c00522x414S14c08454x413S26a04520x450S26a14451x448S17150509x530S17158481x530S17138480x568S17130510x568S28a14459x538S28a0c533x539,atmosfære
barometer,M519x530S15a06489x512S10011482x500S2890a490x486S28902488x470,barometer
bris,M558x545S33500476x483S14c00526x480S26a04525x517S2f804520x534,bris
flom,M530x537S25f20492x463S22510508x473S22510471x472S14c50505x504S14c58471x506,flom
flom,M533x535S25f21479x466S22510511x471S22510467x485S14c50508x502S14c58474x504,flom
frisk luft,M534x580S37200479x495S33a10506x490S22b00505x523S22b10477x523S14c02503x557S14c0a462x557,frisk luft
frost,M526x512S20310511x497S20318475x497S2f900513x488S2f900477x489,frost
fryse inn,M526x512S20310511x496S20314474x497S2f900513x489S2f900475x489,fryse inn
fuktig,M523x527S17d16477x474S17d1e508x474S22104509x501S22104477x501S22a04509x511S22a14477x512,fuktig
fuktig,M531x513S17d14470x498S17d1c506x498S22114505x487S22114469x488,fuktig
fuktig,M513x542S15230487x458S22114487x495S22f04487x504S17716492x522,fuktig
fuktig,M513x519S17d1e492x496S22114487x482,fuktig
fuktig,M526x527S17d16475x473S17d1e510x474S22104477x501S22104513x500S22a04513x510S22a14478x512,fuktig
gass,M518x518S2ff00482x483S15300493x488,gass
gass,M537x524S2ff00482x483S15300496x499S26504523x497,gass
gass,M518x558S2ff00482x483S15300495x502S2e300494x531,gass
gass,M528x518S17710508x500S26602473x502S22100494x495S2f710494x483,gass
grader,M515x523S15a12486x477S10028487x493S20602505x492,grader
hagl,M536x538S22c24493x496S36d00479x503S2f900495x489S2f710495x479S15352511x462S1535a465x462,hagl
hagl,M536x533S1535a465x467S22b24483x502S2f900495x494S2f710495x484S15352511x467S22b24502x503S36d00479x508,hagl
høst,M533x523S14c12486x483S1f502503x499S22522467x477S20500523x496,høst
høytrykk,M543x563S36d00479x466S18210517x455S22a00522x436S36d00479x554S20350528x531S22a04530x548S2f900530x523,høytrykk
høytrykk,M538x562S36d00479x468S18210515x459S22a00521x439S15a36491x544S20350485x547S22a04485x526S2f900486x518,høytrykk
is,M574x514S19251507x487S19259474x487S26706532x497S26712427x497,is
is,M571x510S19250506x491S19258474x491S26706529x493S26712429x492,is
is,M576x514S19a51504x487S19a59474x487S26706534x497S26712424x497,is
isbre,M578x554S19251511x447S19259470x448S26712423x456S26706536x457S14c04512x502S14c0c467x502S25e24493x524,isbre
jorden,M540x518S15a50503x485S15a50486x485S28a14464x482S28a0c519x482S28816461x494S2880e518x493,jorden
jordskjelv,M576x536S15a12425x467S2e706426x481S14c50540x465S14c58496x465S2a408540x500S2a410496x500S2f900565x500S2f900488x500,jordskjelv
kulde,M525x512S20310510x497S20318476x497S2f900512x490S2f900478x489,kulde
kulde,M525x514S20310510x499S20318476x499S2f920512x487S2f920479x487,kulde
luft,M540x539S2ff00482x483S15a00522x495S26a04513x525,luft
luft,M547x537S2ff00482x483S15a01524x497S26a04516x523,luft
lun,M542x518S2ff00482x483S14c02493x484S26506527x489,lun
lyn,M529x528S10021472x472S2460b493x491S2f710517x491,lyn
lyse,M560x518S2ff00482x483S22100513x461S17711541x446S26203517x463,lyse
meteorologi,M521x583S36d00479x458S14c20452x418S28a0a481x425S14c40491x552S14c0a458x510S26500496x532S20700495x514,meteorologi
mild,M530x518S2ff00482x483S14c01471x481S26606500x486,mild
miljø,M530x530S14c50505x499S14c58472x499S2ea36505x478S2ea42471x478S2fb00494x471,miljø
miljø,M513x526S14c50488x495S2ea3a488x474,miljø
mane,M531x513S10021501x492S2e30a470x488,mane
mane,M564x525S36d00479x521S22104506x505S22100507x474S2890c524x479S1eb20540x474,mane
nedbør,M566x524S36d00479x520S14c50506x482S14c58472x482S22b04532x488S22b04550x487S22b14455x486S22b14439x485S2fb00495x475,nedbør
nordlys,M547x518S2ff00482x483S14c20524x446S2830e476x453,nordlys
orkan,M521x530S28a2d466x500S36d00479x507S2f900487x493S20310496x474S20318478x469,orkan
oversømmelse,M561x528S14c57507x499S14c5f465x501S28309533x473S28311440x475,oversømmelse
ras,M543x538S22523499x493S22523458x482S25e23468x511S14c03516x475S14c0d474x463,ras
ras,M542x538S22522458x462S22522494x499S14c52511x505S14c5e473x468S25e23460x511,ras
regn,M531x531S14c50507x469S14c58469x469S22b24492x501,regn
regn,M534x538S14c50510x464S14c58467x463S22a04516x498S22a04515x516S22a14473x497S22a14474x515S2fb04492x532,regn
regn,M532x529S14c04509x471S14c0c468x471S22b24491x499,regn
regn bue,M533x573S14c50509x427S14c58468x428S22b24493x458S14c03470x547S2890a497x537,regn bue
regnbue,M521x521S36d00479x517S14c21451x483S2890a484x479,regnbue
regnbue,M521x526S36d00479x522S32100482x482S14c21451x470S28a0a484x462,regnbue
regnbyge,M547x532S14c50486x480S14c58453x469S22c25514x499S2f900533x500,regnbyge
renne utover,M526x526S14c51499x500S2830f474x474,renne utover
røyk,M544x540S14c04457x509S29707485x485S17712507x461S22120522x501,røyk
satelitt,M518x524S17600483x498S17711494x476S2e700503x499,satelitt
skum,M526x514S15a30514x487S2960e475x494,skum
sky,M521x535S36d00479x531S14c30495x482S2ea32496x464,sky
skygge,M520x516S15a20490x484S15a20481x489S26c0a505x485,skygge
skygge,M531x525S15a10500x483S15a18519x475S28903470x498,skygge
sludd,M570x526S36d00479x522S14c50502x483S14c58475x483S2fb00494x473S2c400530x490S2c411427x489,sludd
smelte,M587x515S17d14474x486S17d1c503x486S2fb04493x509S26612441x485S26606529x486S18514413x489S1851c562x490,smelte
snø pa bakken,M521x536S36d00479x464S37800476x465S37c0a479x486S20b00471x501S1eb00477x517,snø pa bakken
sol,M547x524S36d00479x520S10011526x479S2e309499x476,sol
sol brent,M565x518S36d00479x418S10011532x385S2e309502x380S2ff00483x483S20e00503x495S14c10521x487S26506550x499S2f710553x489,sol brent
sol verv,M559x577S36d00479x467S2e309509x424S10011538x425S15a10516x534S15a18502x527S26602480x560S26616516x561,sol verv
solstraler,M548x531S36d00479x527S26203505x488S22104521x508S17701529x469,solstraler
sommer,M530x518S2ff00482x483S14c02464x481S26606500x484,sommer
stige,M514x532S15a12487x501S10018493x502S21100496x485S22a00496x468,stige
storm,M526x521S14c11500x479S28a0e474x501S2f900508x516,storm
temperatur,M515x533S15a12486x503S10018492x503S21200487x486S22f00488x468,temperatur
temperatur,M515x532S10018489x502S10012485x508S21100496x485S22a00498x468,temperatur
termometer,M523x599S15a12492x439S10018500x443S21200495x422S23108497x402S10018500x569S1f000494x572S22b00504x530S20700477x577,termometer
torden,M566x525S36700482x489S30104482x477S28302523x488S2831a436x488S20310546x508S20318437x510,torden
tornado,M545x555S10018460x525S10013455x501S22d07487x462S2ef04500x495S2ef04512x480S2e736520x446S2fb01487x464,tornado
trykk,M515x521S15a36488x502S20350486x506S22a04489x485S2f900490x479,trykk
tørt,M514x519S17716492x499S21200486x482,tørt
tåke,M539x546S31a00482x483S28a10474x486S28a08508x485S14c27513x517S14c2f461x519S2fc04493x531,tåke
universet,M538x543S2ff00482x483S28a14464x485S28a0c521x484S20330505x528S20330479x527S14c12507x453S14c1a462x452,universet
uvær,M533x574S1f522492x425S22a04492x453S2f900508x452S36d00479x570S14c21472x535S28a0a497x532,uvær
varm,M530x518S2ff00482x483S14c02464x478S26606500x481,varm
vind,M528x520S14c40504x481S23902472x500,vind
vinter,M526x531S20310509x470S20318474x471S27102511x490S27116474x491,vinter
vinter,M524x512S20310509x497S20318476x496S2f900512x488S2f900477x489,vinter
vær,M539x520S36d00479x516S14c21477x483S28a0a503x479,vær
vær,M536x523S36d00479x519S14c01471x480S28a0a500x477,vær
værmelding,M553x551S36d00479x437S14c21475x403S2890a500x400S33b00481x483S10010507x521S2b707528x523,værmelding
var,M512x545S1710a492x505S22b00493x490S14c00488x455S17736492x525,var
yr,M549x546S14c57508x486S14c5f466x486S22521451x472S22527525x471S2f800480x454S22b24492x516,yr
ørken,M523x529S21200478x498S15a13486x471S15a30511x497S26a04478x515,ørken
årlig,M517x545S15a30493x486S2a208488x517S1f510483x459S2e700502x455,årlig
års skifte,M522x557S1f510486x449S2e700505x443S26601486x504S26617497x503S15a50510x530S15a58479x530,års skifte
årstid,M525x539S1f510476x466S2e700498x461S10010476x509S26606495x521,årstid
martin,M524x518S2ff20476x483S21100494x487S26504493x502S14418487x449,martin
mategnir,M552x526S2fb00491x501S22b03510x502S22b15466x502S10011531x475S10019449x475,mategnir
fisk,M508x536S15a40495x509S2dd06492x464,fisk
fisk,M525x525S15a41502x502S2830f476x475,fisk
fiskearter,M536x574S15a41504x455S2830f478x427S1ed26464x544S26706494x546S22f04497x560,fiskearter
fiskearter,M527x569S15a41504x459S2830f476x431S15a41501x511S15a49474x522S20f01490x536S26a05505x548,fiskearter
fjær mark,M574x598S1ec40502x406S1ec48475x406S26712427x408S26706532x410S22100535x403S22104552x403S22100454x402S22104438x402S18020467x486S18028504x485S22120510x474S22120469x475S2fb00492x468S10a12509x583S26701474x548S21600508x563S21b00501x554S21600493x547,fjær mark
frosk,M518x570S36a00482x477S20500496x522S15316488x537S22f04489x556,frosk
frosk,M525x554S36a00482x477S20500495x524S17700505x533S22120481x547,frosk
frosk,M529x517S11012502x502S2b702472x484,frosk
neste,M545x535S33200482x483S10a10522x509S28400523x474,neste
pirat,M535x518S31420482x483S11502505x495,pirat
pakistan,M521x523S10018480x493S17610485x481S26a02507x477,pakistan
pakistan,M523x528S10018478x498S17610483x486S22200487x473S22204505x476S26506508x485,pakistan
syria,M518x514S15a48483x487S10e52488x495,syria
iran,M519x516S15a48481x484S10042489x501,iran
forbered,M518x529S15a57491x489S15a51495x506S22f04482x472,forbered
vil,M521x513S15d01498x488S20600480x502,vil
vil,M514x527S15d02487x473S21100494x496S22a04494x512,vil
løsning i væske,M531x535S14c04473x466S14c08469x504S2ea36506x476S2ea12506x499,løsning i væske
gjelle lokk,M571x611S36a00482x415S28905506x435S2891d467x435S14c02540x439S14c0a430x440S2fb04493x478S36a00482x540S27106521x546S27112463x546S15a10540x550S15a18447x550S2fb04491x605,gjelle lokk
gjeller,M572x549S36a00482x477S28905506x496S2891d466x496S14c02541x501S14c0a430x500S2fb04493x543,gjeller
hummer,M517x525S11540502x476S11548484x476S22f24489x511,hummer
hval,M513x531S1dc10488x501S2b700494x470,hval
hval,M514x533S15a56487x495S15a40496x506S2b700487x468,hval
hvalross,M541x558S30003482x483S30005482x483S28913460x512S2890b516x513S20300526x543S20300460x542,hvalross
kamskjell,M513x546S15050487x454S15a30496x506S21100496x488S26704494x504,kamskjell
klo,M539x519S1f017493x489S10a19462x483S2880b519x495S22104513x481,klo
krabbe,M531x525S15050469x494S22520486x476S26606501x502,krabbe
krabbe,M525x530S15050476x499S22521483x471S26607503x479,krabbe
krabbe,M531x521S1eb40507x502S1eb48470x501S21d00504x490S21d00481x490S2fb00493x480,krabbe
krabbe,M531x530S1eb40507x511S1eb48470x510S21d00504x499S21d00481x499S2fb00493x489S26520493x470,krabbe
krabbe,M535x523S1f157512x493S1f15f466x492S22101467x495S22105470x483S22101482x480S22107511x478S22103522x482S22107526x494,krabbe
kreps,M556x533S26501506x476S26501522x491S26517479x476S26517465x490S21b00518x467S21b00533x482S21b00470x468S21b00456x482S1eb47537x506S1eb4f445x503S2fb04493x510,kreps
kreps,M535x522S1eb57513x494S1eb5f472x495S22101480x479S22105470x482S22101466x493S22107526x490S22103522x479S22107511x478,kreps
krokodille,M523x515S17159478x485S17135477x499S20600501x494,krokodille
krokodille,M527x520S15336479x505S15359474x481S20600505x493,krokodille
larve,M517x534S15a30486x478S26600484x467S21b00509x469S21600509x477S21b00509x483S21600509x490S10a57485x501,larve
makk,M536x520S10a51503x500S26601465x488S21813482x480,makk
musling,M524x515S17111504x488S1711e498x498S20600476x485,musling
padde,M535x527S2fb04492x521S22f04510x509S22f14466x509S14c50511x474S14c58467x475,padde
padde,M518x567S36a00482x477S20500496x525S15a12487x538S22f00490x553,padde
parasitt,M521x574S32c00482x483S15a1a488x539S13f17498x541S20800488x556S2f900488x569,parasitt
parasitt,M518x524S15a50483x477S11552488x484S20500494x506S2f900493x519,parasitt
parasitt,M537x515S15a50464x485S14c52472x491S21100507x496S26506522x495S22104520x486,parasitt
parasitt,M519x520S15a50482x481S13f10490x494S20800493x510,parasitt
plankton,M575x523S14c50504x492S14c58475x492S26712425x502S26706533x503S22530532x478S22530431x478,plankton
o skjell,M518x549S17610491x451S17147502x528S1714f482x529S20600490x515,o skjell
partikler,M533x525S14c50471x494S26606503x503S22520468x476,partikler
pingvin,M547x534S36d00479x466S21100505x476S21100481x476S22c04503x492S22c14479x492S18201522x471S18209452x471,pingvin
plankton,M578x521S14c50504x490S14c58472x490S26706536x500S26712422x500S22530534x479S22530425x481,plankton
reke,M537x513S10612464x497S26706495x497S21b00518x487S21b00495x487,reke
rur,M519x533S15a18481x471S15010493x467S20f00493x504S22f04494x519,rur
sidelinje,M517x526S15a48484x493S10002487x511S26504500x490S21100500x474,sidelinje
skjell,M518x518S17147502x498S1714f483x498S20600489x483,skjell
svamp,M527x512S17d14473x497S17d1c504x497S22120505x488S22120473x488,svamp
tare,M540x547S37900500x497S15a56489x535S14c10488x473S28802487x516S2880a491x515S28803460x484S2880b520x484S2f800480x453,tare
østers,M521x524S17138479x498S17137501x504S2dd08479x477,østers
arealvektor,M514x515S10010499x485S15d59486x487,arealvektor
avta,M549x527S2fb00493x491S22b03509x502S22b15466x503S10011528x474S10019451x474,avta
avta,M512x514S18210489x486S22a04489x499,avta
balanse,M531x529S15a50514x471S15a50477x471S23108505x502S23118469x502S2fb04494x523,balanse
betingelse,M524x522S20f00477x478S1f502485x498S10002494x494,betingelse
bevis_(flere),M516x521S20c00485x479S15a36489x503S15a30490x494,bevis_
brudden,M530x522S20500495x500S28813471x502S2880b510x502S20350505x479S20350485x479,brudden
circa,M550x514S10002497x491S1000a477x499S2ef00532x487S2ef13451x491,circa
data blad,M551x614S30007482x483S22a07516x475S1dc20527x449S22100519x458S10020515x584S10028493x584S23c1c470x579S23c04527x577,data blad
differanse,M552x525S10041495x477S10049479x476S20500494x512S26612462x509S26606507x509S2f900541x515S2f900448x514,differanse
distanse,M558x510S1eb40467x491S1eb48442x491S26706499x494S2f900547x500,distanse
egenskap,M521x523S36d00479x478S1f510494x494S20600490x512,egenskap
egenskap,M539x518S36d00479x483S1f510495x502S26a00512x504,egenskap
eksistere,M514x546S15a50486x454S22100486x485S22a04486x497S10050492x516S2f710502x501,eksistere
eksistere,M515x540S15a50485x460S22a04486x491S10050491x510S2f710503x497,eksistere
ekstra,M538x520S15a30462x489S20500477x498S2a200491x481S18517519x493,ekstra
ekstrem,M547x519S36d00479x490S15a02512x507S26607525x481,ekstrem
ekte,M514x525S15a16487x491S11550497x495S20b00496x475,ekte
ekvivalens,M518x562S10050503x452S10058483x452S20500496x439S20500499x536S15a16490x550S1851c493x519,ekvivalens
en het,M511x551S10010490x450S1ed16492x516S2f900493x546,en het
enhet,M510x518S1ed16491x482S2f900492x513,enhet
fase,M525x521S10011475x491S2890a482x480S2f900514x494,fase
fasesoskyvning,M538x525S20500468x492S10008480x476S10020463x495S29a16495x483S29a06485x501S2fb05526x501,fasesoskyvning
fasit,M519x596S15a00487x439S14c20482x405S21100504x432S22b04503x448S22a04489x551S20b00490x569S15a40490x521S15a16484x584,fasit
fast,M527x511S20340512x496S20348473x496S2f900513x490S2f900475x490,fast
feil,M523x532S20e00511x485S22a04510x468S10040502x502S1000a478x489,feil
flat,M530x514S15a36481x497S15a50470x487S20e00486x497S26606500x494,flat
forandre,M517x548S10031485x452S10059487x469S2a206483x494S2a21e493x519,forandre
forandre,M533x552S10031487x449S10059490x466S10002474x531S1000a496x537S2810e468x499S28116501x504,forandre
forandre,M526x543S10031487x457S10059490x474S10002474x521S1000a496x528,forandre
forhold,M536x528S15a40485x472S15a48464x472S22a24475x512S22a24523x513S26626490x503,forhold
forlenge,M552x514S15a40505x487S15a48485x487S26612449x496S26606522x497,forlenge
form,M544x520S15a50504x481S15a50485x481S23c04521x493S23c1c457x493,form
form,M523x524S15a10510x476S15a18477x476S22a04510x509S22a14477x507,form
formel,M528x527S15a18473x485S18527490x500S26504499x487S20e00500x473S22104516x493,formel
forsterke,M536x554S18210513x479S22a00517x460S36d00479x447S20300492x539S2f900494x530,forsterke
forstørre,M515x531S15a12488x502S15a16485x519S22b00494x469,forstørre
fortegn,M523x574S15a36495x445S15a40494x433S15a36496x539S26502478x426S11550502x544,fortegn
fortegnelse,M519x519S15a00494x485S18210496x491S20612481x482,fortegnelse
forutsetning,M559x554S32401460x483S32407505x483S10e00469x524S10e08518x524S26607537x502S26611444x501,forutsetning
forutsetning,M520x522S15a50487x495S15a1a493x509S20c00480x478,forutsetning
frekvens,M534x529S2fb00492x471S26a00507x479S26a10466x478S14c00508x498S14c08468x498,frekvens
full,M539x512S15a12462x490S17600472x496S20e00493x490S26606509x488,full
fullt,M517x520S22a00498x487S18210494x505S18218484x481,fullt
følge,M518x530S10018483x500S10010494x494S26627496x471,følge
gjennomsnitt,M525x544S15d40506x489S14c08482x513S26506487x490S26502475x496S26600481x457,gjennomsnitt
grad,M541x508S36d00479x499S17610525x492,grad
grader,M515x522S15a12486x478S10028487x492S20602505x493,grader
gram,M530x545S1f010479x456S15a30511x488S15a30476x488S23108504x518S23118470x518S2fb04491x539,gram
grunn,M514x523S22a04495x494S15a12486x478S15a16487x511,grunn
hektoliter,M516x537S11502484x463S15a16488x525S1dc20492x500,hektoliter
horisont,M539x553S32402461x482S32406503x484S15a50473x521S26706491x528S2fb04493x547,horisont
hull,M533x514S10012503x499S2ef00482x487S26502468x495,hull
hypotese,M541x518S31a00482x482S30007482x483S10011520x482S25e00512x449,hypotese
identisk lik,M517x525S10050502x495S10058483x495S20500496x482S2f900495x475,identisk lik
innhold,M521x514S15a48480x487S19201495x493,innhold
innhold,M521x537S26504487x497S10004492x463S20700503x511S16d48479x517,innhold
interferens,M554x525S29b02488x478S29b16470x500S10011533x476S10019447x495,interferens
intervall,M521x530S15a40494x471S1dc09491x500S20500511x487S20500480x489,intervall
justere,M514x531S1ea40486x470S2a300491x495,justere
justere,M560x550S35c00482x483S1ea40533x488S2a300537x514,justere
kaos,M525x521S2a22a504x484S15312475x479S1531e475x506,kaos
kaos,M519x547S14c12488x472S14c1a482x502S2e706491x454S2e74a488x531,kaos
kapasitet,M541x514S16d10507x489S16d18479x489S26a02527x486S26a16460x487,kapasitet
karakteristisk,M521x547S36d00479x453S15a00495x464S20500510x468S15a12488x517S22a04496x532,karakteristisk
kg,M532x515S14020469x485S1f120503x500,kg
kilogram,M530x545S14020483x456S15a30512x494S15a30481x494S23104504x525S23110470x528,kilogram
kilometer,M526x515S14020474x485S18d50506x490,kilometer
kilometer,M512x534S10040488x504S28308490x466,kilometer
km,M527x515S14020474x485S18d50507x488,km
konsekvens,M522x530S10010507x500S10018478x491S26721478x470,konsekvens
krav,M520x531S15a30482x480S21100482x486S26604481x501S10a51487x469,krav
krum flate,M520x520S15a51480x497S2890a491x481,krum flate
krum linje,M518x524S10011482x494S2890a489x477,krum linje
kule,M513x522S1531e488x507S24b00491x478,kule
kvartal,M567x528S36d00479x483S10020528x474S28a0b537x472S2a208513x500,kvartal
kvalitet,M531x530S15a18478x480S15a12469x488S37710481x505S22a00501x473S22a04517x489S21100518x471S21100502x490,kvalitet
kvarter,M533x521S15a18467x479S10010483x479S20500476x510S2c300507x483,kvarter
ligne,M519x523S10050504x493S10058482x493S20600488x478,ligne
liter,M514x518S15a16486x506S1dc20490x482,liter
maksimum,M516x529S22b00495x480S18210493x514S18218484x472,maksimum
maksimum,M516x537S20500497x472S22b00494x488S18210493x522S18218485x463,maksimum
mengde,M546x514S26a02510x487S26a16475x487S16d10529x490S16d18454x489,mengde
meter,M521x522S36d00479x478S20500510x487S20500480x487S1771e477x502,meter
meter,M521x525S36d00479x475S3770a470x478S37702471x501S20500481x485S20500484x508S17711497x493,meter
meter,M541x522S1000a490x507S37806460x513S20500501x494S20500466x499S1eb11514x483S28902473x478,meter
metode,M534x573S15a06473x428S10e40477x433S15a40494x522S15a48466x523S22a24479x558S22a24521x558S26626492x551,metode
midtpunkt,M514x518S15a36487x506S10014497x483,midtpunkt
mil,M526x534S1f400497x518S1f408474x519S26700494x467,mil
mil,M513x533S10040488x503S28308491x467,mil
milligram,M529x551S18d50486x449S15a30480x502S15a30508x502S23100503x534S23110472x534,milligram
millimeter,M523x528S26506491x486S18d50503x503S18d50477x503S22104491x472,millimeter
millimeter,M549x533S36000482x483S1f117526x503,millimeter
minke,M512x512S18210489x489S22a04488x497,minke
minutter,M537x517S15a18463x484S10020478x486S2c400497x494,minutter
minutter,M530x517S15a18471x490S20602486x492S1c510500x483,minutter
mm,M523x523S18d50478x478S18d50503x479S26506497x509,mm
modell,M553x525S15a50502x476S15a50486x476S29313447x488S2930b519x488S2fb04492x519,modell
moment,M532x521S20340503x480S37700509x496S2f900521x485S2d600469x488,moment
male,M555x510S1eb10470x490S1eb18445x490S26706497x494S2f900544x500,male
null punkt,M514x550S17600491x450S15a12487x521S10018497x520,null punkt
null punkt,M526x563S17600474x438S15a12499x518S10018479x501S37800485x531,null punkt
null punkt,M514x577S17602492x507S10010492x547S20b00492x440S22a04494x424S15a10494x458S15a16487x469,null punkt
nær,M514x522S26500494x493S15a02487x478S15a02487x510,nær
nøyaktig,M514x540S15a36487x485S15a40494x513S21100492x490S26600491x461,nøyaktig
nøyaktighet,M519x541S15a40488x460S2f900489x489S22b04487x497S15a16482x529S26500505x493S21100505x510,nøyaktighet
nøytral,M514x524S15a02486x477S15a06487x500S22b04492x494,nøytral
nøytral,M526x517S15a02474x500S15a00482x490S26606496x484,nøytral
nøytral,M539x522S18252503x478S1825a484x478S20500496x507S26606509x505S26612462x506,nøytral
observasjon,M554x583S32104482x483S15a36487x548S10e30492x553S23404517x536,observasjon
omkrets,M522x531S10018487x501S10012492x497S2e30e478x469,omkrets
omrade,M531x531S20500495x503S20500495x520S2d606509x503S2d61e470x503S10004503x469S1000c481x469,omrade
omvendt,M514x533S10030490x468S1005f486x473S2a22c491x507,omvendt
par,M522x524S1ed52478x477S10e08482x494S20700504x498S22100506x490,par
oversikt,M561x528S32104482x483S10e50525x489S22c04545x486,oversikt
paralell,M517x531S10010502x501S10018483x501S26620493x469,paralell
paralellkobling,M525x578S10010501x453S10018482x453S26620492x423S26502510x531S26516475x531S20500495x533S10a10503x552S10a18483x552,paralellkobling
periode,M539x514S15a40479x487S15a48462x486S26706497x493,periode
periode,M545x517S15a40472x485S15a48455x484S26706490x491S22a04532x502,periode
periode,M539x514S15a10478x487S15a18462x487S26706497x494,periode
perioder,M560x518S15a40459x483S15a48441x483S26606477x489S26606517x489S22a04505x503S22a04547x503,perioder
perioder,M532x536S1ed16489x510S26602468x490S26602468x475S26606501x482S26606502x465,perioder
plan,M531x514S15a50470x487S15a36482x496S20e00487x496S26606501x495,plan
prinsipp,M521x516S15a18479x485S10002491x501S20600496x487,prinsipp
projeksjon,M515x542S26600490x495S17720486x527S14c20486x459S21b00507x513,projeksjon
projisere,M515x542S26600490x495S17720486x527S14c20486x459S21b00507x513,projisere
promille,M520x524S17610504x477S22b03481x494S22a06497x511,promille
prosedyre,M547x521S28804506x498S2881c484x499S14c01521x480S14c09454x481,prosedyre
prosent,M519x518S17610503x482S22b03481x494,prosent
prøve,M514x526S15a36487x490S10e30490x496S20b00494x475,prøve
radius i sirkel,M547x536S10048485x484S28a08454x483S28a0a473x464S28a0c508x484S28a0e472x519S10012517x478,radius i sirkel
reduksjon,M563x519S22c03504x486S22c15461x486S10011542x481S10019437x481,reduksjon
redusere,M563x519S22c03504x486S22c15461x486S10011542x481S10019437x481,redusere
regel,M513x514S15a00488x487S18210490x496,regel
regel,M514x514S15a00493x487S15a12487x495,regel
regelmessig,M548x518S15a40473x483S15a48453x483S26626503x486S22a24494x501S22a24535x503,regelmessig
regler,M522x522S15a00478x485S18210480x498S22a04509x493S20500512x479S20500511x511,regler
regulere,M514x531S1ea40487x469S2a300491x495,regulere
regulere,M520x519S18210488x504S23600481x482,regulere
rekord,M514x538S15a06487x514S21100494x491S22b04493x508S1ed16494x462,rekord
rektangel,M577x510S1ed10501x490S1ed18471x490S26606532x494S26612437x493S22104565x493S22100564x502S22100423x502S22104424x493,rektangel
ressurs,M513x534S20320491x467S26200492x487S15356488x519,ressurs
retning,M530x530S21100492x494S15a41507x507S15a37474x476S26601471x471,retning
rominnhold,M546x514S26a02510x486S26a16475x487S16d10529x489S16d18454x489,rominnhold
sammensatt,M520x545S17711499x456S1771f480x476S17719480x506S17717500x526,sammensatt
sekund,M530x523S15a18470x477S26c0a489x477S10011509x493,sekund
sekunder,M527x522S15a18474x478S20602490x481S10011506x492,sekunder
sekunder,M531x515S15a18470x485S20602487x488S10102501x499,sekunder
siffer,M520x530S26500486x471S26506495x485S26500506x473S1f116480x501,siffer
sirkel,M516x522S10040501x492S2e309484x479,sirkel
sirkel radius,M561x548S10048467x494S20500472x486S26606485x482S28b0a466x452S28b0c507x478S28b08440x477S28b0e461x528S10012531x488,sirkel radius
sirkelradius,M526x532S10048484x502S2e308475x469S26506480x479S10012496x471,sirkelradius
skelvekt,M532x531S2f804482x520S23100506x499S23110469x500S15a30508x470S15a30483x470,skelvekt
sortere,M516x538S21200486x494S15a16488x511S15a40488x463S26604500x508S26604484x508,sortere
stige,M514x532S15a12487x501S10018494x502S21100497x485S22a00497x469,stige
struktur,M512x534S14c20489x467S29904495x502,struktur
struktur,M514x542S26604487x485S14c01488x459S14c09488x515,struktur
struktur,M521x540S26604490x461S20500494x496S14c01495x513S14c09479x513,struktur
svinge,M527x518S15a40515x482S28a06474x501S28a0e473x485,svinge
sylinder,M518x528S16d40500x508S16d48482x508S22b20492x472,sylinder
symbol,M522x516S15020478x485S26500508x489,symbol
symbol,M526x525S15a06474x475S15020477x494S26500512x503S20500515x483,symbol
syntetisk,M554x593S26200501x434S26210470x433S17712501x408S1771a470x408S14c04500x471S14c0c466x471S2c305527x556S2c310446x556S17710505x578S17700505x542S17708472x578S17718471x542S20500494x570S20500494x532,syntetisk
syntetisk,M520x555S17711499x446S1771f481x465S17719482x518S17717500x536,syntetisk
system,M540x524S2892a489x506S22a24468x508S22a24527x509S15a40478x477S15a48460x477,system
