id,term,signwriting,description,cue
439,fag,M529x528S15a02499x510S15a06475x516S20f00487x493S26c14471x473S26c04502x472,,fag
441,liv,M544x535S14c00520x504S14c08456x504S24d00520x465S24d18456x465,,liv
443,hei,M576x518S14c20531x487S33e00482x482S26506561x502S31400482x482,glad for å se deg,hei
445,dialog,M543x600S10018482x519S10010502x530S27100503x573S27114451x572S2fb04490x594S34700482x483,,dialog
446,banke,M528x524S11041471x476S26b07500x496,,banke
447,kollisjon,M540x516S20302505x483S20308481x483S26502525x484S26516459x484S20b00494x503,"mellom to legemer (ting) i fysikk, også mellom meniger",kollisjon
448,matematikk,M542x543S11500504x464S11508474x457S23600503x509S23614458x502S2fc04488x532,,matematikk
451,fagforening,M578x538S15a02451x501S15a06427x507S20f00439x484S26c14423x464S26c04454x463S20500536x523S26602548x521S26616503x522S16d40558x491S16d48503x491,,fagforening
458,diameter,M532x521S10011511x491S16c18469x480S26606478x484,,diameter
459,Stavanger,M519x520S31100482x482S20500483x482S20500509x483S10e10461x490,,stavanger
460,lokke,M510x521S21600502x479S21600491x479S10630490x495,,lokke
460,friste,M510x521S21600502x479S21600491x479S10630490x495,,friste
463,regne,M523x518S15a08478x483S1eb57504x491S22f02486x487,,regne
464,flau,M542x526S2ff00482x483S28902494x498S18217525x501,,flau
464,sjenert,M542x526S2ff00482x483S28902494x498S18217525x501,,sjenert
464,sky,M542x526S2ff00482x483S28902494x498S18217525x501,,sky
466,atom,M529x516S1f720509x488S1f728471x497S2e800492x484,"fra amerikansk tegnspråk, ASL",atom
468,suppe,M532x543S34600482x482S1813e484x531S2eb00517x508,,suppe
470,si,M535x551S33b00482x483S10010486x521S26600519x511,,si
471,trekant,M544x550S11e00492x449S22b13471x490S22b05504x491S10058455x518S10050529x520,foreslått tegn for høyere klassetrinn,trekant
472,ion,M526x527S19205474x484S19201500x472S2e800508x495,"fysikk, kjemi: atom (eller molekyl) som har ladning",ion
473,parallell,M526x546S10028474x516S10020511x516S26700508x466S26710475x467S2fb00492x454,,parallell
474,statistikk,M531x525S1dc28469x477S10041510x495S2480a493x476,,statistikk
475,pinlig,M518x601S22a04489x586S35000482x482S1f412493x530S20e00490x563S2f900490x578,,pinlig
